Bulan,Jumlah Wisatawan
2019-01,938689.0
2019-02,504000.0
2019-03,746615.0
2019-04,676444.0
2019-05,865448.0
2019-06,766742.0
2019-07,682358.0
2019-08,957310.0
2019-09,1013758.0
2019-10,1218382.0
2019-11,1202539.0
2019-12,852973.0
2020-01,875913.0
2020-02,823161.0
2020-03,625928.0
2020-04,192049.0
2020-05,171612.0
2020-06,319482.0
2020-07,454312.0
2020-08,525792.0
2020-09,544481.0
2020-10,596479.0
2020-11,590735.0
2020-12,697181.0
2021-01,503658.0
2021-02,576752.0
2021-03,688565.0
2021-04,734706.0
2021-05,564449.0
2021-06,712213.0
2021-07,299619.0
2021-08,389999.0
2021-09,616940.0
2021-10,819696.0
2021-11,818908.0
2021-12,982042.0
2022-01,921715.0
2022-02,763630.0
2022-03,1689435.0
2022-04,1261483.0
2022-05,1602865.0
2022-06,1464563.0
2022-07,1477930.0
2022-08,1237754.0
2022-09,1060611.0
2022-10,1261023.0
2022-11,1223422.0
2022-12,1382660.0
2023-01,1672824.0
2023-02,1587319.0
2023-03,1713368.0
2023-04,1487558.0
2023-05,1855123.0
2023-06,1739727.0
2023-07,1495378.0
2023-08,1265422.0
2023-09,1188766.0
2023-10,1273189.0
2023-11,1225338.0
2023-12,2331655.0
